# http://owl.english.purdue.edu/owl/resource/605/01/
List of Irregular Verbs in English   

Present  	Past  	Past Participle

be 	was, were 	been
become 	became 	become
begin 	began 	begun
blow 	blew 	blown
break 	broke 	broken
bring 	brought 	brought
build 	built 	built
burst 	burst 	burst
buy 	bought 	bought
burst 	burst 	burst
catch 	caught 	caught
choose 	chose 	chosen
come 	came 	come
cut 	cut 	cut
deal 	dealt 	dealt
do 	did 	done
drink 	drank 	drunk
drive 	drove 	driven
eat 	ate 	eaten
fall 	fell 	fallen
feed 	fed 	fed
feel 	felt 	felt
fight 	fought 	fought
find 	found 	found
fly 	flew 	flown
forbid 	forbade 	forbidden
forget 	forgot 	forgotten
forgive 	forgave 	forgiven
freeze 	froze 	frozen
get 	got 	gotten
give 	gave 	given
go 	went 	gone
grow 	grew 	grown
have 	had 	had
hear 	heard 	heard
hide 	hid 	hidden
hold 	held 	held
hurt 	hurt 	hurt
keep 	kept 	kept
know 	knew 	known
lay 	laid 	laid
lead 	led 	led
leave 	left 	left
let 	let 	let
lie 	lay 	lain
lose 	lost 	lost
make 	made 	made
meet 	met 	met
pay 	paid 	paid
quit 	quit 	quit
read 	read 	read
ride 	rode 	ridden
run 	ran 	run
say 	said 	said
see 	saw 	seen
seek 	sought 	sought
sell 	sold 	sold
send 	sent 	sent
shake 	shook 	shaken
shine 	shone 	shone
sing 	sang 	sung
sit 	sat 	sat
sleep 	slept 	slept
speak 	spoke 	spoken
spend 	spent 	spent
spring 	sprang 	sprung
stand 	stood 	stood
steal 	stole 	stolen
swim 	swam 	swum
swing 	swung 	swung
take 	took 	taken
teach 	taught 	taught
tear 	tore 	torn
tell 	told 	told
think 	thought 	thought
throw 	threw 	thrown
understand 	understood 	understood
wake 	woke (waked) 	woken (waked)
wear 	wore 	worn
win 	won 	won
write 	wrote 	written
