CLAS:BandDraggedOperation void redo(): redo (V)  | band (NM) dragged (NM) operation (N) 
CLAS:BandDraggedOperation void undo(): undo (V)  | band (NM) dragged (NM) operation (N) 
CLAS:BarcodeReportElement void update(): update (V)  | barcode (NM) report (NM) element (N) 
CLAS:CSVQueryExecuter void close(): close (V)  | CSV (NM) query (NM) executer (N) 
CLAS:CaretUndo void redo(): redo (V)  | caret (NM) undo (N) 
CLAS:CaretUndo void undo(): undo (V)  | caret (NM) undo (N) 
CLAS:CellAnimationEffect void run(): run (V)  | cell (NM) animation (NM) effect (N) 
CLAS:ChangeEmentsOrderOperation void redo(): redo (V)  | change (NM) ements (NM) order (NM) operation (N) 
CLAS:ChangeEmentsOrderOperation void undo(): undo (V)  | change (NM) ements (NM) order (NM) operation (N) 
CLAS:CheckUpdate void call(): call (V)  | check (NM) update (N) 
CLAS:CheckUpdate void configure(): configure (V)  | check (NM) update (N) 
CLAS:CloseButtonListener static void install(): install (V)  | close (NM) button (NM) listener (N) 
CLAS:CompatibilityDialog void close(): close (V)  | compatibility (NM) dialog (N) 
CLAS:CompatibilityDialog void load(): load (V)  | compatibility (NM) dialog (N) 
CLAS:CompatibilityDialog void save(): save (V)  | compatibility (NM) dialog (N) 
CLAS:CompileThread void run(): run (V)  | compile (NM) thread (N) 
CLAS:CompileThread void stop(): stop (V)  | compile (NM) thread (N) 
CLAS:CrosstabColumnDraggedOperation void redo(): redo (V)  | crosstab (NM) column (NM) dragged (NM) operation (N) 
CLAS:CrosstabColumnDraggedOperation void undo(): undo (V)  | crosstab (NM) column (NM) dragged (NM) operation (N) 
CLAS:CrosstabRowDraggedOperation void redo(): redo (V)  | crosstab (NM) row (NM) dragged (NM) operation (N) 
CLAS:CrosstabRowDraggedOperation void undo(): undo (V)  | crosstab (NM) row (NM) dragged (NM) operation (N) 
CLAS:DefaultInputHandler InputHandler copy(): copy (V)  | default (NM) input (NM) handler (N) 
CLAS:DeleteElementsOperation void redo(): redo (V)  | delete (NM) elements (NM) operation (N) 
CLAS:DeleteElementsOperation void undo(): undo (V)  | delete (NM) elements (NM) operation (N) 
CLAS:DesignVerifyerThread void run(): run (V)  | design (NM) verifyer (NM) thread (N) 
CLAS:DesignVerifyerThread void stop(): stop (V)  | design (NM) verifyer (NM) thread (N) 
CLAS:EJBQLConnection void test(): test (V)  | EJBQL (NM) connection (N) 
CLAS:ElementTransformation void redo(): redo (V)  | element (NM) transformation (N) 
CLAS:ElementTransformation void undo(): undo (V)  | element (NM) transformation (N) 
CLAS:ExtendedTabbedPane Component sel(): sel (V)  | extended (NM) tabbed (NM) pane (N) 
CLAS:ExtendedTabbedPane void reset(): reset (V)  | extended (NM) tabbed (NM) pane (N) 
CLAS:ExtendedTabbedPane void run(): run (V)  | extended (NM) tabbed (NM) pane (N) 
CLAS:FieldReader void run(): run (V)  | field (NM) reader (N) 
CLAS:FindThread void run(): run (V)  | find (NM) thread (N) 
CLAS:FindThread void stop(): stop (V)  | find (NM) thread (N) 
CLAS:FormatCommand void execute(): execute (V)  | format (NM) command (N) 
CLAS:FormatCommand void modify(): modify (V)  | format (NM) command (N) 
CLAS:FormatCommand void preparation(): preparation (V)  | format (NM) command (N) 
CLAS:FormatCommandAlignBottom void modify(): modify (V)  | format (NM) command (NM) align (NM) bottom (N) 
CLAS:FormatCommandAlignBottom void preparation(): preparation (V)  | format (NM) command (NM) align (NM) bottom (N) 
CLAS:FormatCommandAlignBottomToBand void modify(): modify (V)  | format (NM) command (NM) align (NM) bottom (NM) to (NM) band (N) 
CLAS:FormatCommandAlignCenter void modify(): modify (V)  | format (NM) command (NM) align (NM) center (N) 
CLAS:FormatCommandAlignCenter void preparation(): preparation (V)  | format (NM) command (NM) align (NM) center (N) 
CLAS:FormatCommandAlignCenterHorizontally void modify(): modify (V)  | format (NM) command (NM) align (NM) center (NM) horizontally (N) 
CLAS:FormatCommandAlignCenterHorizontally void preparation(): preparation (V)  | format (NM) command (NM) align (NM) center (NM) horizontally (N) 
CLAS:FormatCommandAlignCenterVertically void modify(): modify (V)  | format (NM) command (NM) align (NM) center (NM) vertically (N) 
CLAS:FormatCommandAlignHorizontalAxis void modify(): modify (V)  | format (NM) command (NM) align (NM) horizontal (NM) axis (N) 
CLAS:FormatCommandAlignHorizontalAxis void preparation(): preparation (V)  | format (NM) command (NM) align (NM) horizontal (NM) axis (N) 
CLAS:FormatCommandAlignLeft void modify(): modify (V)  | format (NM) command (NM) align (NM) left (N) 
CLAS:FormatCommandAlignLeft void preparation(): preparation (V)  | format (NM) command (NM) align (NM) left (N) 
CLAS:FormatCommandAlignRight void modify(): modify (V)  | format (NM) command (NM) align (NM) right (N) 
CLAS:FormatCommandAlignRight void preparation(): preparation (V)  | format (NM) command (NM) align (NM) right (N) 
CLAS:FormatCommandAlignToLeftMargin void modify(): modify (V)  | format (NM) command (NM) align (NM) to (NM) left (NM) margin (N) 
CLAS:FormatCommandAlignToLeftMargin void preparation(): preparation (V)  | format (NM) command (NM) align (NM) to (NM) left (NM) margin (N) 
CLAS:FormatCommandAlignToRightMargin void modify(): modify (V)  | format (NM) command (NM) align (NM) to (NM) right (NM) margin (N) 
CLAS:FormatCommandAlignToRightMargin void preparation(): preparation (V)  | format (NM) command (NM) align (NM) to (NM) right (NM) margin (N) 
CLAS:FormatCommandAlignTop void modify(): modify (V)  | format (NM) command (NM) align (NM) top (N) 
CLAS:FormatCommandAlignTop void preparation(): preparation (V)  | format (NM) command (NM) align (NM) top (N) 
CLAS:FormatCommandAlignTopToBand void modify(): modify (V)  | format (NM) command (NM) align (NM) top (NM) to (NM) band (N) 
CLAS:FormatCommandAlignVerticalAxis void modify(): modify (V)  | format (NM) command (NM) align (NM) vertical (NM) axis (N) 
CLAS:FormatCommandAlignVerticalAxis void preparation(): preparation (V)  | format (NM) command (NM) align (NM) vertical (NM) axis (N) 
CLAS:FormatCommandCenterInBackground void modify(): modify (V)  | format (NM) command (NM) center (NM) in (NM) background (N) 
CLAS:FormatCommandCenterInBackground void preparation(): preparation (V)  | format (NM) command (NM) center (NM) in (NM) background (N) 
CLAS:FormatCommandCenterInBand void modify(): modify (V)  | format (NM) command (NM) center (NM) in (NM) band (N) 
CLAS:FormatCommandCenterInBand void preparation(): preparation (V)  | format (NM) command (NM) center (NM) in (NM) band (N) 
CLAS:FormatCommandCenterInBandH void modify(): modify (V)  | format (NM) command (NM) center (NM) in (NM) band (NM) H (N) 
CLAS:FormatCommandCenterInBandH void preparation(): preparation (V)  | format (NM) command (NM) center (NM) in (NM) band (NM) H (N) 
CLAS:FormatCommandCenterInBandV void modify(): modify (V)  | format (NM) command (NM) center (NM) in (NM) band (NM) V (N) 
CLAS:FormatCommandDecreaseSpaceH void modify(): modify (V)  | format (NM) command (NM) decrease (NM) space (NM) H (N) 
CLAS:FormatCommandDecreaseSpaceV void modify(): modify (V)  | format (NM) command (NM) decrease (NM) space (NM) V (N) 
CLAS:FormatCommandEqualsSpaceH void modify(): modify (V)  | format (NM) command (NM) equals (NM) space (NM) H (N) 
CLAS:FormatCommandEqualsSpaceH void preparation(): preparation (V)  | format (NM) command (NM) equals (NM) space (NM) H (N) 
CLAS:FormatCommandEqualsSpaceV void modify(): modify (V)  | format (NM) command (NM) equals (NM) space (NM) V (N) 
CLAS:FormatCommandEqualsSpaceV void preparation(): preparation (V)  | format (NM) command (NM) equals (NM) space (NM) V (N) 
CLAS:FormatCommandIncreaseSpaceH void modify(): modify (V)  | format (NM) command (NM) increase (NM) space (NM) H (N) 
CLAS:FormatCommandIncreaseSpaceV void modify(): modify (V)  | format (NM) command (NM) increase (NM) space (NM) V (N) 
CLAS:FormatCommandJoinLeft void modify(): modify (V)  | format (NM) command (NM) join (NM) left (N) 
CLAS:FormatCommandJoinRight void modify(): modify (V)  | format (NM) command (NM) join (NM) right (N) 
CLAS:FormatCommandMoveToLeftMargin void modify(): modify (V)  | format (NM) command (NM) move (NM) to (NM) left (NM) margin (N) 
CLAS:FormatCommandMoveToRightMargin void modify(): modify (V)  | format (NM) command (NM) move (NM) to (NM) right (NM) margin (N) 
CLAS:FormatCommandMoveToRightMargin void preparation(): preparation (V)  | format (NM) command (NM) move (NM) to (NM) right (NM) margin (N) 
CLAS:FormatCommandRemoveSpaceV void modify(): modify (V)  | format (NM) command (NM) remove (NM) space (NM) V (N) 
CLAS:FormatCommandRemoveSpaceV void preparation(): preparation (V)  | format (NM) command (NM) remove (NM) space (NM) V (N) 
CLAS:FormatCommandSameHeight void modify(): modify (V)  | format (NM) command (NM) same (NM) height (N) 
CLAS:FormatCommandSameHeight void preparation(): preparation (V)  | format (NM) command (NM) same (NM) height (N) 
CLAS:FormatCommandSameHeightMax void modify(): modify (V)  | format (NM) command (NM) same (NM) height (NM) max (N) 
CLAS:FormatCommandSameHeightMax void preparation(): preparation (V)  | format (NM) command (NM) same (NM) height (NM) max (N) 
CLAS:FormatCommandSameHeightMin void modify(): modify (V)  | format (NM) command (NM) same (NM) height (NM) min (N) 
CLAS:FormatCommandSameHeightMin void preparation(): preparation (V)  | format (NM) command (NM) same (NM) height (NM) min (N) 
CLAS:FormatCommandSameSize void modify(): modify (V)  | format (NM) command (NM) same (NM) size (N) 
CLAS:FormatCommandSameSize void preparation(): preparation (V)  | format (NM) command (NM) same (NM) size (N) 
CLAS:FormatCommandSameWidth void modify(): modify (V)  | format (NM) command (NM) same (NM) width (N) 
CLAS:FormatCommandSameWidth void preparation(): preparation (V)  | format (NM) command (NM) same (NM) width (N) 
CLAS:FormatCommandSameWidthMax void modify(): modify (V)  | format (NM) command (NM) same (NM) width (NM) max (N) 
CLAS:FormatCommandSameWidthMax void preparation(): preparation (V)  | format (NM) command (NM) same (NM) width (NM) max (N) 
CLAS:FormatCommandSameWidthMin void modify(): modify (V)  | format (NM) command (NM) same (NM) width (NM) min (N) 
CLAS:FormatCommandSameWidthMin void preparation(): preparation (V)  | format (NM) command (NM) same (NM) width (NM) min (N) 
CLAS:FormatCommandShrink void modify(): modify (V)  | format (NM) command (NM) shrink (N) 
CLAS:FormatCommandShrink void preparation(): preparation (V)  | format (NM) command (NM) shrink (N) 
CLAS:GroupEmentsOperation void redo(): redo (V)  | group (NM) ements (NM) operation (N) 
CLAS:GroupEmentsOperation void undo(): undo (V)  | group (NM) ements (NM) operation (N) 
CLAS:HelloWorld void call(): call (V)  | hello (NM) world (N) 
CLAS:HelloWorld void configure(): configure (V)  | hello (NM) world (N) 
CLAS:ICommand void execute(): execute (V)  | I (NM) command (N) 
CLAS:IReportCompiler void run(): run (V)  | I (NM) report (NM) compiler (N) 
CLAS:IReportConnection void test(): test (V)  | I (NM) report (NM) connection (N) 
CLAS:IReportFont Object clone(): clone (V)  | I (NM) report (NM) font (N) 
CLAS:IReportHashMapBean Object clone(): clone (V)  | I (NM) report (NM) hash (NM) map (NM) bean (N) 
CLAS:IReportPlugin void call(): call (V)  | I (NM) report (NM) plugin (N) 
CLAS:IReportPlugin void configure(): configure (V)  | I (NM) report (NM) plugin (N) 
CLAS:IReportServerImpl void run(): run (V)  | I (NM) report (NM) server (NM) impl (N) 
CLAS:IReportTCPServer void run(): run (V)  | I (NM) report (NM) TCP (NM) server (N) 
CLAS:InputHandler InputHandler copy(): copy (V)  | input (NM) handler (N) 
CLAS:InsertElementOperation void redo(): redo (V)  | insert (NM) element (NM) operation (N) 
CLAS:InsertElementOperation void undo(): undo (V)  | insert (NM) element (NM) operation (N) 
CLAS:JBoxButtonPopup void show(): show (V)  | J (NM) box (NM) button (NM) popup (N) 
CLAS:JDBCConnection void test(): test (V)  | JDBC (NM) connection (N) 
CLAS:JEditTextArea void copy(): copy (V)  | J (NM) edit (NM) text (NM) area (N) 
CLAS:JEditTextArea void cut(): cut (V)  | J (NM) edit (NM) text (NM) area (N) 
CLAS:JEditTextArea void paste(): paste (V)  | J (NM) edit (NM) text (NM) area (N) 
CLAS:JMDIDesktopPane void cascade(): cascade (V)  | JMDI (NM) desktop (NM) pane (N) 
CLAS:JMDIDesktopPane void tileHorizontally(): tile (V) horizontally (VM)  | JMDI (NM) desktop (NM) pane (N) 
CLAS:JMDIDesktopPane void tileVertically(): tile (V) vertically (VM)  | JMDI (NM) desktop (NM) pane (N) 
CLAS:JRCSVDataSourceConnection void test(): test (V)  | JRCSV (NM) data (NM) source (NM) connection (N) 
CLAS:JRCustomConnection void test(): test (V)  | JR (NM) custom (NM) connection (N) 
CLAS:JRCustomDataSourceConnection void test(): test (V)  | JR (NM) custom (NM) data (NM) source (NM) connection (N) 
CLAS:JRDataSourceProviderConnection void test(): test (V)  | JR (NM) data (NM) source (NM) provider (NM) connection (N) 
CLAS:JRHibernateConnection void test(): test (V)  | JR (NM) hibernate (NM) connection (N) 
CLAS:JRSpringLoadedHibernateConnection void test(): test (V)  | JR (NM) spring (NM) loaded (NM) hibernate (NM) connection (N) 
CLAS:JRXMLADataSourceConnection void test(): test (V)  | JRXMLA (NM) data (NM) source (NM) connection (N) 
CLAS:JRXMLDataSourceConnection void test(): test (V)  | JRXML (NM) data (NM) source (NM) connection (N) 
CLAS:JRXMLDataSourceConnection void test(): test (V)  | JRXML (NM) data (NM) source (NM) connection (N) 
CLAS:JRXMLDataSourcePlugin void call(): call (V)  | JRXML (NM) data (NM) source (NM) plugin (N) 
CLAS:JReportFrame void copy(): copy (V)  | J (NM) report (NM) frame (N) 
CLAS:JReportFrame void cut(): cut (V)  | J (NM) report (NM) frame (N) 
CLAS:JReportFrame void delete(): delete (V)  | J (NM) report (NM) frame (N) 
CLAS:JReportFrame void moveDown(): move (V) down (VM)  | J (NM) report (NM) frame (N) 
CLAS:JReportFrame void moveUp(): move (V) up (VM)  | J (NM) report (NM) frame (N) 
CLAS:JReportFrame void paste(): paste (V)  | J (NM) report (NM) frame (N) 
CLAS:JReportFrame void redo(): redo (V)  | J (NM) report (NM) frame (N) 
CLAS:JReportFrame void undo(): undo (V)  | J (NM) report (NM) frame (N) 
CLAS:JSQLTablesPane void repaint(): repaint (V)  | JSQL (NM) tables (NM) pane (N) 
CLAS:JasperBabylonRunner void run(): run (V)  | jasper (NM) babylon (NM) runner (N) 
CLAS:JavaBeanDataSourceConnection void test(): test (V)  | java (NM) bean (NM) data (NM) source (NM) connection (N) 
CLAS:MainFrame IReportCompiler compile(): compile (V)  | main (NM) frame (N) 
CLAS:MainFrame JReportFrame open(): open (V)  | main (NM) frame (N) 
CLAS:MainFrame void redo(): redo (V)  | main (NM) frame (N) 
CLAS:MainFrame void run(): run (V)  | main (NM) frame (N) 
CLAS:MainFrame void undo(): undo (V)  | main (NM) frame (N) 
CLAS:MassiveCompiler void call(): call (V)  | massive (NM) compiler (N) 
CLAS:MinimizeButtonListener static void install(): install (V)  | minimize (NM) button (NM) listener (N) 
CLAS:MondrianConnection void test(): test (V)  | mondrian (NM) connection (N) 
CLAS:OracleOptionsPlugin void call(): call (V)  | oracle (NM) options (NM) plugin (N) 
CLAS:OracleOptionsPlugin void configure(): configure (V)  | oracle (NM) options (NM) plugin (N) 
CLAS:PageTransformation void redo(): redo (V)  | page (NM) transformation (N) 
CLAS:PageTransformation void undo(): undo (V)  | page (NM) transformation (N) 
CLAS:PasteStyleOperation void redo(): redo (V)  | paste (NM) style (NM) operation (N) 
CLAS:PasteStyleOperation void undo(): undo (V)  | paste (NM) style (NM) operation (N) 
CLAS:ProblemItem String getWhere(): get (V) where (VM)  | problem (NM) item (N) 
CLAS:ProblemItem void resolve(): resolve (V)  | problem (NM) item (N) 
CLAS:RegistrationPlugin void call(): call (V)  | registration (NM) plugin (N) 
CLAS:RegistrationPlugin void configure(): configure (V)  | registration (NM) plugin (N) 
CLAS:RemoveMarginsOperation void redo(): redo (V)  | remove (NM) margins (NM) operation (N) 
CLAS:RemoveMarginsOperation void undo(): undo (V)  | remove (NM) margins (NM) operation (N) 
CLAS:ReplacedElementsOperation void redo(): redo (V)  | replaced (NM) elements (NM) operation (N) 
CLAS:ReplacedElementsOperation void undo(): undo (V)  | replaced (NM) elements (NM) operation (N) 
CLAS:ReportClassLoader void setup(): setup (V)  | report (NM) class (NM) loader (N) 
CLAS:SampleBoxPanel void refresh(): refresh (V)  | sample (NM) box (NM) panel (N) 
CLAS:SubreportWizardNewReport void run(): run (V)  | subreport (NM) wizard (NM) new (NM) report (N) 
CLAS:TextWizard void call(): call (V)  | text (NM) wizard (N) 
CLAS:TextWizard void configure(): configure (V)  | text (NM) wizard (N) 
CLAS:TransformElementsOperation void redo(): redo (V)  | transform (NM) elements (NM) operation (N) 
CLAS:TransformElementsOperation void undo(): undo (V)  | transform (NM) elements (NM) operation (N) 
CLAS:TranslationStatus void call(): call (V)  | translation (NM) status (N) 
CLAS:TranslationStatus void configure(): configure (V)  | translation (NM) status (N) 
CLAS:UnGroupEmentsOperation void redo(): redo (V)  | un (NM) group (NM) ements (NM) operation (N) 
CLAS:UnGroupEmentsOperation void undo(): undo (V)  | un (NM) group (NM) ements (NM) operation (N) 
